occurrences,pct,param1,param2,param3,param4,value1,value2,value3,value4,nrn
0,0.0,406,1,1,6,59669,7,1,8,2843
0,0.0,406,1,1,6,93853,1,1,4,2843
0,0.0,406,1,1,6,139951,1,1,8,2843
0,0.0,406,1,1,6,35953,1,1,4,2843
0,0.0,406,1,1,6,59669,7,1,5,2843
0,0.0,406,1,1,6,93853,1,1,7,2843
0,0.0,406,1,1,6,139951,1,1,6,2843
0,0.0,406,1,1,7,35953,1,1,6,2843
0,0.0,406,1,1,7,59669,7,1,8,2843
0,0.0,406,1,1,7,93853,1,1,6,2843
0,0.0,406,1,1,7,139951,1,1,8,2843
0,0.0,406,1,1,5,35953,1,1,7,2843
0,0.0,406,1,1,5,59669,7,1,7,2843
0,0.0,406,1,1,5,93853,1,1,7,2843
0,0.0,406,1,1,5,139951,1,1,6,2843
0,0.0,406,1,1,0,35953,1,1,111.7,2843
0,0.0,406,1,1,0,59669,7,1,6.27,2843
0,0.0,406,1,1,0,93853,1,1,316.06,2843
0,0.0,406,1,1,0,139951,1,1,723.21,2843
0,0.0,406,1,10,3,35953,1,10,1,2843
0,0.0,406,1,10,3,59669,7,10,1,2843
0,0.0,406,1,10,3,93853,1,10,1,2843
0,0.0,406,1,10,3,139951,1,10,1,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,8,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,10,35953,1,10,10,2843
0,0.0,406,1,10,10,59669,7,10,8,2843
0,0.0,406,1,10,10,93853,1,10,10,2843
0,0.0,406,1,10,10,139951,1,10,10,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,10,35953,1,10,10,2843
0,0.0,406,1,10,10,59669,7,10,10,2843
0,0.0,406,1,10,10,93853,1,10,10,2843
0,0.0,406,1,10,10,139951,1,10,10,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,3,35953,1,10,10,2843
0,0.0,406,1,10,3,59669,7,10,1,2843
0,0.0,406,1,10,3,93853,1,10,6,2843
0,0.0,406,1,10,3,139951,1,10,2,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,7,35953,1,10,6,2843
0,0.0,406,1,10,7,59669,7,10,8,2843
0,0.0,406,1,10,7,93853,1,10,8,2843
0,0.0,406,1,10,7,139951,1,10,8,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,1,35953,1,10,1,2843
0,0.0,406,1,10,1,59669,7,10,1,2843
0,0.0,406,1,10,1,93853,1,10,1,2843
0,0.0,406,1,10,1,139951,1,10,1,2843
0,0.0,406,1,10,5,35953,1,10,1,2843
0,0.0,406,1,10,5,59669,7,10,3,2843
0,0.0,406,1,10,5,93853,1,10,1,2843
0,0.0,406,1,10,5,139951,1,10,1,2843
0,0.0,406,1,10,7,35953,1,10,10,2843
0,0.0,406,1,10,7,59669,7,10,6,2843
0,0.0,406,1,10,7,93853,1,10,10,2843
0,0.0,406,1,10,7,139951,1,10,5,2843
0,0.0,406,1,10,6,35953,1,10,7,2843
0,0.0,406,1,10,6,59669,7,10,6,2843
0,0.0,406,1,10,6,93853,1,10,6,2843
0,0.0,406,1,10,6,139951,1,10,10,2843
0,0.0,406,1,10,8,35953,1,10,10,2843
0,0.0,406,1,10,8,59669,7,10,8,2843
0,0.0,406,1,10,8,93853,1,10,10,2843
0,0.0,406,1,10,8,139951,1,10,10,2843
0,0.0,406,1,10,5,35953,1,10,2,2843
0,0.0,406,1,10,5,59669,7,10,6,2843
0,0.0,406,1,10,5,93853,1,10,10,2843
0,0.0,406,1,10,5,139951,1,10,9,2843
0,0.0,406,1,10,4,35953,1,10,6,2843
0,0.0,406,1,10,4,59669,7,10,5,2843
0,0.0,406,1,10,4,93853,1,10,8,2843
0,0.0,406,1,10,4,139951,1,10,10,2843
0,0.0,406,1,10,7,35953,1,10,5,2843
0,0.0,406,1,10,7,59669,7,10,7,2843
0,0.0,406,1,10,7,93853,1,10,7,2843
0,0.0,406,1,10,7,139951,1,10,1,2843
0,0.0,406,1,10,6,35953,1,10,4,2843
0,0.0,406,1,10,6,59669,7,10,8,2843
0,0.0,406,1,10,6,93853,1,10,4,2843
0,0.0,406,1,10,6,139951,1,10,8,2843
0,0.0,406,1,10,6,35953,1,10,4,2843
0,0.0,406,1,10,6,59669,7,10,5,2843
0,0.0,406,1,10,6,93853,1,10,7,2843
0,0.0,406,1,10,6,139951,1,10,6,2843
0,0.0,406,1,10,7,35953,1,10,6,2843
0,0.0,406,1,10,7,59669,7,10,8,2843
0,0.0,406,1,10,7,93853,1,10,6,2843
0,0.0,406,1,10,7,139951,1,10,8,2843
0,0.0,406,1,10,5,35953,1,10,7,2843
0,0.0,406,1,10,5,59669,7,10,7,2843
0,0.0,406,1,10,5,93853,1,10,7,2843
0,0.0,406,1,10,5,139951,1,10,6,2843
0,0.0,406,1,10,0,35953,1,10,111.7,2843
0,0.0,406,1,10,0,59669,7,10,6.27,2843
0,0.0,406,1,10,0,93853,1,10,316.06,2843
0,0.0,406,1,10,0,139951,1,10,723.21,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,8,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,10,35953,1,1,10,2843
0,0.0,406,1,3,10,59669,7,1,8,2843
0,0.0,406,1,3,10,93853,1,1,10,2843
0,0.0,406,1,3,10,139951,1,1,10,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,10,35953,1,1,10,2843
0,0.0,406,1,3,10,59669,7,1,10,2843
0,0.0,406,1,3,10,93853,1,1,10,2843
0,0.0,406,1,3,10,139951,1,1,10,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,3,35953,1,1,10,2843
0,0.0,406,1,3,3,59669,7,1,1,2843
0,0.0,406,1,3,3,93853,1,1,6,2843
0,0.0,406,1,3,3,139951,1,1,2,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,7,35953,1,1,6,2843
0,0.0,406,1,3,7,59669,7,1,8,2843
0,0.0,406,1,3,7,93853,1,1,8,2843
0,0.0,406,1,3,7,139951,1,1,8,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,1,35953,1,1,1,2843
0,0.0,406,1,3,1,59669,7,1,1,2843
0,0.0,406,1,3,1,93853,1,1,1,2843
0,0.0,406,1,3,1,139951,1,1,1,2843
0,0.0,406,1,3,5,35953,1,1,1,2843
0,0.0,406,1,3,5,59669,7,1,3,2843
0,0.0,406,1,3,5,93853,1,1,1,2843
0,0.0,406,1,3,5,139951,1,1,1,2843
0,0.0,406,1,3,7,35953,1,1,10,2843
0,0.0,406,1,3,7,59669,7,1,6,2843
0,0.0,406,1,3,7,93853,1,1,10,2843
0,0.0,406,1,3,7,139951,1,1,5,2843
0,0.0,406,1,3,6,35953,1,1,7,2843
0,0.0,406,1,3,6,59669,7,1,6,2843
0,0.0,406,1,3,6,93853,1,1,6,2843
0,0.0,406,1,3,6,139951,1,1,10,2843
0,0.0,406,1,3,8,35953,1,1,10,2843
0,0.0,406,1,3,8,59669,7,1,8,2843
0,0.0,406,1,3,8,93853,1,1,10,2843
0,0.0,406,1,3,8,139951,1,1,10,2843
0,0.0,406,1,3,5,35953,1,1,2,2843
0,0.0,406,1,3,5,59669,7,1,6,2843
0,0.0,406,1,3,5,93853,1,1,10,2843
0,0.0,406,1,3,5,139951,1,1,9,2843
0,0.0,406,1,3,4,35953,1,1,6,2843
0,0.0,406,1,3,4,59669,7,1,5,2843
0,0.0,406,1,3,4,93853,1,1,8,2843
0,0.0,406,1,3,4,139951,1,1,10,2843
0,0.0,406,1,3,7,35953,1,1,5,2843
0,0.0,406,1,3,7,59669,7,1,7,2843
0,0.0,406,1,3,7,93853,1,1,7,2843
0,0.0,406,1,3,7,139951,1,1,1,2843
0,0.0,406,1,3,6,35953,1,1,4,2843
0,0.0,406,1,3,6,59669,7,1,8,2843
0,0.0,406,1,3,6,93853,1,1,4,2843
0,0.0,406,1,3,6,139951,1,1,8,2843
0,0.0,406,1,3,6,35953,1,1,4,2843
0,0.0,406,1,3,6,59669,7,1,5,2843
0,0.0,406,1,3,6,93853,1,1,7,2843
0,0.0,406,1,3,6,139951,1,1,6,2843
0,0.0,406,1,3,7,35953,1,1,6,2843
0,0.0,406,1,3,7,59669,7,1,8,2843
0,0.0,406,1,3,7,93853,1,1,6,2843
0,0.0,406,1,3,7,139951,1,1,8,2843
0,0.0,406,1,3,5,35953,1,1,7,2843
0,0.0,406,1,3,5,59669,7,1,7,2843
0,0.0,406,1,3,5,93853,1,1,7,2843
0,0.0,406,1,3,5,139951,1,1,6,2843
0,0.0,406,1,3,0,35953,1,1,111.7,2843
0,0.0,406,1,3,0,59669,7,1,6.27,2843
0,0.0,406,1,3,0,93853,1,1,316.06,2843
0,0.0,406,1,3,0,139951,1,1,723.21,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,10,35953,1,1,10,2843
0,0.0,406,1,1,10,59669,7,1,8,2843
0,0.0,406,1,1,10,93853,1,1,10,2843
0,0.0,406,1,1,10,139951,1,8,10,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,10,35953,1,1,10,2843
0,0.0,406,1,1,10,59669,7,1,10,2843
0,0.0,406,1,1,10,93853,1,1,10,2843
0,0.0,406,1,1,10,139951,1,8,10,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,3,35953,1,1,10,2843
0,0.0,406,1,1,3,59669,7,1,1,2843
0,0.0,406,1,1,3,93853,1,1,6,2843
0,0.0,406,1,1,3,139951,1,8,2,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,7,35953,1,1,6,2843
0,0.0,406,1,1,7,59669,7,1,8,2843
0,0.0,406,1,1,7,93853,1,1,8,2843
0,0.0,406,1,1,7,139951,1,8,8,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,8,1,2843
0,0.0,406,1,1,5,35953,1,1,1,2843
0,0.0,406,1,1,5,59669,7,1,3,2843
0,0.0,406,1,1,5,93853,1,1,1,2843
0,0.0,406,1,1,5,139951,1,8,1,2843
0,0.0,406,1,1,7,35953,1,1,10,2843
0,0.0,406,1,1,7,59669,7,1,6,2843
0,0.0,406,1,1,7,93853,1,1,10,2843
0,0.0,406,1,1,7,139951,1,8,5,2843
0,0.0,406,1,1,6,35953,1,1,7,2843
0,0.0,406,1,1,6,59669,7,1,6,2843
0,0.0,406,1,1,6,93853,1,1,6,2843
0,0.0,406,1,1,6,139951,1,8,10,2843
0,0.0,406,1,1,8,35953,1,1,10,2843
0,0.0,406,1,1,8,59669,7,1,8,2843
0,0.0,406,1,1,8,93853,1,1,10,2843
0,0.0,406,1,1,8,139951,1,8,10,2843
0,0.0,406,1,1,5,35953,1,1,2,2843
0,0.0,406,1,1,5,59669,7,1,6,2843
0,0.0,406,1,1,5,93853,1,1,10,2843
0,0.0,406,1,1,5,139951,1,8,9,2843
0,0.0,406,1,1,4,35953,1,1,6,2843
0,0.0,406,1,1,4,59669,7,1,5,2843
0,0.0,406,1,1,4,93853,1,1,8,2843
0,0.0,406,1,1,4,139951,1,8,10,2843
0,0.0,406,1,1,7,35953,1,1,5,2843
0,0.0,406,1,1,7,59669,7,1,7,2843
0,0.0,406,1,1,7,93853,1,1,7,2843
0,0.0,406,1,1,7,139951,1,8,1,2843
0,0.0,406,1,1,6,35953,1,1,4,2843
0,0.0,406,1,1,6,59669,7,1,8,2843
0,0.0,406,1,1,6,93853,1,1,4,2843
0,0.0,406,1,1,6,139951,1,8,8,2843
0,0.0,406,1,1,6,35953,1,1,4,2843
0,0.0,406,1,1,6,59669,7,1,5,2843
0,0.0,406,1,1,6,93853,1,1,7,2843
0,0.0,406,1,1,6,139951,1,8,6,2843
0,0.0,406,1,1,7,35953,1,1,6,2843
0,0.0,406,1,1,7,59669,7,1,8,2843
0,0.0,406,1,1,7,93853,1,1,6,2843
0,0.0,406,1,1,7,139951,1,8,8,2843
0,0.0,406,1,1,5,35953,1,1,7,2843
0,0.0,406,1,1,5,59669,7,1,7,2843
0,0.0,406,1,1,5,93853,1,1,7,2843
0,0.0,406,1,1,5,139951,1,8,6,2843
0,0.0,406,1,1,0,35953,1,1,111.7,2843
0,0.0,406,1,1,0,59669,7,1,6.27,2843
0,0.0,406,1,1,0,93853,1,1,316.06,2843
0,0.0,406,1,1,0,139951,1,8,723.21,2843
0,0.0,406,1,1,10,35953,1,1,10,2843
0,0.0,406,1,1,10,59669,7,1,8,2843
0,0.0,406,1,1,10,93853,1,1,10,2843
0,0.0,406,1,1,10,139951,1,1,10,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,1,1,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,1,1,2843
0,0.0,406,1,1,10,35953,1,1,10,2843
0,0.0,406,1,1,10,59669,7,1,10,2843
0,0.0,406,1,1,10,93853,1,1,10,2843
0,0.0,406,1,1,10,139951,1,1,10,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,1,1,2843
0,0.0,406,1,1,3,35953,1,1,10,2843
0,0.0,406,1,1,3,59669,7,1,1,2843
0,0.0,406,1,1,3,93853,1,1,6,2843
0,0.0,406,1,1,3,139951,1,1,2,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
0,0.0,406,1,1,1,93853,1,1,1,2843
0,0.0,406,1,1,1,139951,1,1,1,2843
0,0.0,406,1,1,7,35953,1,1,6,2843
0,0.0,406,1,1,7,59669,7,1,8,2843
0,0.0,406,1,1,7,93853,1,1,8,2843
0,0.0,406,1,1,7,139951,1,1,8,2843
0,0.0,406,1,1,1,35953,1,1,1,2843
0,0.0,406,1,1,1,59669,7,1,1,2843
